Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.1334E-18,-0.01378,-1.8141E-18,0,0,0,0.31125,0.00053528,5.7025E-22,-4.7976E-20,0.0017256,6.0781E-22,0.0011916,0,0,0,0,0,0,package://Assem1 (1)/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/base_link.STL,,upper panel-1;Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip1,-0.019683,-0.0061033,0.005,0,0,0,0.020238,2.0599E-06,-3.5219E-08,-1.1581E-22,2.0599E-06,1.5882E-22,3.7856E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip1.STL,,servvo-12;servvo-3,Origin_hip1,Axis_hip1,hip1,revolute,0.1025,-0.065,0,1.2442,-1.5708,0,base_link,1,0,0,100,3,-3.14,3.14,,,,,,,,
leg1,-0.019147,0.043897,-0.0125,0,0,0,0.0071825,2.3125E-06,1.4767E-06,1.2705E-21,2.3213E-06,-1.5882E-21,4.6039E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg1.STL,,1st leg-3,Origin_leg1,Axis_leg1,leg1,revolute,-0.01358,0,0.01,1.5708,0.11409,0,hip1,0,0,1,100,3,-3.14,3.14,,,,,,,,
hip2,-0.0061033,-0.019683,-0.005,0,0,0,0.020238,2.0599E-06,-3.5219E-08,-5.294E-22,2.0599E-06,9.3802E-22,3.7856E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip2.STL,,servvo-4;servvo-11,Origin_hip2,Axis_hip2,hip2,revolute,0.1025,0.065,0,1.5708,0,0.27915,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
leg2,-0.019147,0.043897,-0.0125,0,0,0,0.0071825,2.3125E-06,1.4767E-06,-7.4777E-22,2.3213E-06,4.2352E-22,4.6039E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg2.STL,,1st leg-2,Origin_leg2,Axis_leg2,leg2,revolute,0,-0.01358,-0.01,-1.5708,0.061399,1.5708,hip2,0,0,1,100,3,-3.14,3.14,,,,,,,,
hip3,-0.0061033,-0.019683,-0.005,0,0,0,0.020238,2.0599E-06,-3.5219E-08,-1.5882E-21,2.0599E-06,3.0771E-22,3.7856E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip3.STL,,servvo-5;servvo-14,Origin_hip3,Axis_hip3,hip3,revolute,-0.1025,0.065,0,1.5708,0,0.69831,base_link,0,1,0,100,0.3,-3.14,3.14,,,,,,,,
leg3,-0.019147,0.043897,-0.00043326,0,0,0,0.0071825,2.3125E-06,1.4767E-06,2.647E-23,2.3213E-06,4.2352E-22,4.6039E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg3.STL,,1st leg-5,Origin_leg3,Axis_leg3,leg3,revolute,0.012067,-0.01358,-0.01,-1.5708,-0.3205,1.5708,hip3,0,0,1,100,3,-3.14,3.14,,,,,,,,
hip4,-0.0061033,-0.019683,-0.005,0,0,0,0.020238,2.0599E-06,-3.5219E-08,-1.0588E-22,2.0599E-06,1.3235E-22,3.7856E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/hip4.STL,,servvo-2;servvo-13,Origin_hip4,Axis_hip4,hip4,revolute,-0.1025,-0.065,0,1.5708,0,2.4418,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
leg4,-0.019147,0.043897,-0.037918,0,0,0,0.0071825,2.3125E-06,1.4767E-06,-1.575E-21,2.3213E-06,9.5291E-22,4.6039E-06,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1 (1)/meshes/leg4.STL,,1st leg-4,Origin_leg4,Axis_leg4,leg4,revolute,-0.025418,-0.01358,-0.01,-1.5708,-0.027408,1.5708,hip4,0,0,1,100,3,-3.14,3.14,,,,,,,,
